127.0.0.1, 2016-10-05 11:26:48, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/default/index, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/css/myapp.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/js/share.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:50, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/css/myapp.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/js/share.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:56, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/default/index, HTTP/1.1, 200, 0.080000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/css/myapp.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/js/share.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:26:58, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/default/index, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.012000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/css/myapp.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/css/calendar.css, HTTP/1.1, 304, 0.012000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.012000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/js/jquery.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/js/web2py.js, HTTP/1.1, 304, 0.000000

127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:27:00, GET, /Review/static/js/share.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:27:01, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:27:46, GET, /admin/default/site, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-10-05 11:27:47, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2016-10-05 11:28:37, POST, /admin/default/site, HTTP/1.1, 303, 1.659000
127.0.0.1, 2016-10-05 11:28:38, GET, /admin/default/site, HTTP/1.1, 200, 0.128000
127.0.0.1, 2016-10-05 11:28:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-05 11:29:01, GET, /Review/default/index, HTTP/1.1, 200, 0.156000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/default/index, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/css/myapp.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:29:05, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
